PANTONENAME,UNIQUECODE,L,a,b
2258 C,10790,48,-48,41
2259 C,10791,41,-42,33
226 C,10792,45,71,0
2260 C,10793,80,-14,13
2261 C,10794,72,-17,16
2262 C,10795,67,-17,14
2263 C,10796,59,-19,17
2264 C,10797,58,-24,23
2265 C,10798,49,-20,20
2266 C,10799,33,-21,23
2267 C,10800,83,-34,28
2268 C,10801,79,-45,36
2269 C,10802,75,-39,39
227 C,10803,37,62,-4
2270 C,10804,71,-60,48
2271 C,10805,66,-61,53
2272 C,10806,55,-54,51
2273 C,10807,42,-38,33
2274 C,10808,86,-11,19
2275 C,10809,85,-18,32
2276 C,10810,65,-22,42
2277 C,10811,56,-36,51
2278 C,10812,49,-29,43
2279 C,10813,49,-23,40
228 C,10814,31,52,-9
2280 C,10815,41,-21,36
2281 C,10816,90,-15,35
2282 C,10817,88,-22,36
2283 C,10818,84,-35,55
2284 C,10819,82,-23,39
2285 C,10820,80,-40,60
2286 C,10821,74,-45,71
2287 C,10822,71,-52,68
2288 C,10823,87,-21,48
2289 C,10824,84,-18,44
229 C,10825,25,34,-6
2290 C,10826,82,-34,75
2291 C,10827,80,-33,76
2292 C,10828,75,-35,71
2293 C,10829,73,-36,71
2294 C,10830,64,-33,64
2295 C,10831,91,-15,46
2296 C,10832,89,-20,60
2297 C,10833,84,-27,79
2298 C,10834,83,-28,59
2299 C,10835,79,-32,67
230 C,10836,77,35,-13
2300 C,10837,75,-23,59
2301 C,10838,67,-24,63
2302 C,10839,73,-13,41
2303 C,10840,70,-18,44
2304 C,10841,68,-15,46
2305 C,10842,66,-16,66
2306 C,10843,56,-15,50
2307 C,10844,45,-11,45
2308 C,10845,36,-2,32
2309 C,10846,84,6,16
231 C,10847,67,54,-20
2310 C,10848,79,6,15
2311 C,10849,71,10,22
2312 C,10850,66,7,17
2313 C,10851,65,14,30
2314 C,10852,54,17,35
2315 C,10853,40,28,44
2316 C,10854,66,9,21
2317 C,10855,60,14,29
2318 C,10856,53,15,31
2319 C,10857,44,16,33
232 C,10858,56,71,-20
2320 C,10859,35,15,28
2321 C,10860,37,10,19
2322 C,10861,25,9,15
2323 C,10862,72,-2,13
2324 C,10863,68,2,18
2325 C,10864,61,2,17
2326 C,10865,53,2,18
2327 C,10866,51,-1,19
2328 C,10867,45,3,19
2329 C,10868,38,3,19
233 C,10869,44,70,-12
2330 C,10870,82,0,2
2331 C,10871,69,2,1
2332 C,10872,57,0,2
2333 C,10873,47,1,2
2334 C,10874,43,2,2
2335 C,10875,35,5,7
2336 C,10876,32,1,2
2337 C,10877,83,19,12
2338 C,10878,73,21,12
2339 C,10879,71,34,16
234 C,10880,36,61,-11
2340 C,10881,58,38,13
2341 C,10882,54,29,11
2342 C,10883,50,37,12
2343 C,10884,47,35,6
2344 C,10885,66,43,29
2345 C,10886,65,55,31
2346 C,10887,62,64,27
2347 C,10888,48,73,63
2348 C,10889,56,56,35
2349 C,10890,47,57,58
235 C,10891,29,51,-10
2350 C,10892,39,55,42
2351 C,10893,60,32,-19
2352 C,10894,54,39,-21
2353 C,10895,51,53,-25
2354 C,10896,44,35,-22
2355 C,10897,31,56,-31
2356 C,10898,25,49,-25
2357 C,10899,22,38,-10
2358 C,10900,68,4,-5
2359 C,10901,50,7,-9
236 C,10902,77,34,-16
2360 C,10903,52,3,-12
2361 C,10904,48,4,-16
2362 C,10905,46,4,-14
2363 C,10906,41,5,-13
2364 C,10907,40,7,-9
2365 C,10908,81,23,-13
2366 C,10909,49,19,-52
2367 C,10910,37,24,-55
2368 C,10911,37,29,-63
2369 C,10912,33,29,-65
237 C,10913,69,46,-21
2370 C,10914,24,30,-59
2371 C,10915,18,44,-65
2372 C,10916,18,27,-51
2373 C,10917,54,-2,-18
2374 C,10918,40,-1,-21
2375 C,10919,65,50,-26
2376 C,10920,38,-1,-15
2377 C,10921,34,-8,-20
2378 C,10922,31,-1,-20
2379 C,10923,29,-1,-13
238 C,10924,60,60,-26
2380 C,10925,21,0,-16
2381 C,10926,60,-2,-44
2382 C,10927,54,-10,-50
2383 C,10928,47,-9,-39
2384 C,10929,39,-6,-42
2385 C,10930,52,68,-31
2386 C,10931,44,5,-55
2387 C,10932,42,8,-61
2388 C,10933,35,11,-60
2389 C,10934,62,-17,-29
239 C,10935,54,68,-27
2390 C,10936,48,-16,-34
2391 C,10937,49,-20,-30
2392 C,10938,40,-17,-24
2393 C,10939,56,-18,-40
2394 C,10940,54,-14,-44
2395 C,10941,45,73,-31
2396 C,10942,58,-28,-24
2397 C,10943,67,-38,-16
2398 C,10944,68,-41,-10
2399 C,10945,63,-41,-5
240 C,10946,47,66,-25
2400 C,10947,64,-45,2
2401 C,10948,62,-36,-3
2402 C,10949,58,-41,2
2403 C,10950,51,-36,-2
2404 C,10951,73,-12,12
2405 C,10952,40,67,-28
2406 C,10953,62,-14,8
2407 C,10954,56,-17,9
2408 C,10955,47,-25,15
2409 C,10956,40,-14,12
241 C,10957,40,63,-22
2410 C,10958,36,-14,13
2411 C,10959,25,-21,15
2412 C,10960,77,-51,19
2413 C,10961,67,-44,9
2414 C,10962,68,-53,19
2415 C,10963,36,62,-25
2416 C,10964,64,-51,19
2417 C,10965,57,-43,16
2418 C,10966,49,-46,29
2419 C,10967,46,-38,10
242 C,10968,31,44,-14
2420 C,10969,70,-60,38
2421 C,10970,65,-58,63
2422 C,10971,60,-57,49
2423 C,10972,61,-59,56
2424 C,10973,57,-52,57
2425 C,10974,29,53,-21
2426 C,10975,51,-51,48
2427 C,10976,35,-37,29
2428 C,10977,65,28,59
2429 C,10978,52,38,53
243 C,10979,80,23,-15
2430 C,10980,71,16,29
2431 C,10981,68,25,44
2432 C,10982,66,28,40
2433 C,10983,62,35,40
2434 C,10984,63,40,33
2435 C,10985,56,31,26
2436 C,10986,48,39,32
2437 C,10987,82,16,23
2438 C,10988,72,22,25
2439 C,10989,62,22,20
244 C,10990,73,36,-22
2440 C,10991,64,12,9
2441 C,10992,52,21,18
2442 C,10993,48,25,17
2443 C,10994,36,35,33
2444 C,10995,73,20,13
2445 C,10996,66,33,11
2446 C,10997,64,29,8
2447 C,10998,54,27,6
2448 C,10999,57,47,32
2449 C,11000,19,17,5
245 C,11001,66,45,-28
2450 C,11002,53,61,-4
2451 C,11003,46,50,-1
2452 C,11004,47,58,1
2453 C,11005,67,19,-19
2454 C,11006,49,-17,-28
2455 C,11007,74,-17,0
2456 C,11008,58,-36,0
2457 C,11009,67,-14,5
2458 C,11010,59,-21,6
2459 C,11011,65,-33,5
246 C,11012,48,70,-37
2460 C,11013,67,-24,-5
2461 C,11014,56,-32,-8
2462 C,11015,55,-20,-1
2463 C,11016,47,-11,-1
2464 C,11017,71,-35,32
2465 C,11018,41,-36,27
2466 C,11019,31,-16,-3
2467 C,11020,63,10,25
2468 C,11021,49,16,24
2469 C,11022,43,21,26
247 C,11023,44,68,-35
2470 C,11024,55,7,20
2471 C,11025,59,9,13
2472 C,11026,31,11,19
2473 C,11027,76,4,-1
2474 C,11028,67,4,6
2475 C,11029,59,9,7
2476 C,11030,48,8,4
2477 C,11031,40,10,5
2478 C,11032,25,10,0
2479 C,11033,23,4,5
248 C,11034,39,61,-32
249 C,11035,33,44,-20
250 C,11036,81,22,-15
251 C,11037,72,33,-25
252 C,11038,58,52,-38
253 C,11039,42,65,-43
254 C,11040,37,58,-38
255 C,11041,29,41,-25
256 C,11042,80,12,-13
2562 C,11043,75,24,-24
2563 C,11044,72,21,-21
2567 C,11045,71,20,-25
257 C,11046,71,20,-19
2572 C,11047,66,33,-32
2573 C,11048,63,30,-30
2577 C,11049,59,29,-35
258 C,11050,42,39,-33
2582 C,11051,50,51,-47
2583 C,11052,50,38,-35
2587 C,11053,41,40,-47
259 C,11054,28,43,-34
2592 C,11055,40,60,-52
2593 C,11056,37,47,-42
2597 C,11057,24,49,-53
260 C,11058,27,35,-25
2602 C,11059,34,56,-48
2603 C,11060,30,44,-38
2607 C,11061,20,44,-48
261 C,11062,26,30,-22
2612 C,11063,31,45,-36
2613 C,11064,27,41,-35
2617 C,11065,17,38,-41
262 C,11066,23,23,-16
2622 C,11067,29,29,-21
2623 C,11068,25,36,-29
2627 C,11069,15,30,-32
263 C,11070,82,10,-15
2635 C,11071,76,12,-21
264 C,11072,72,18,-27
2645 C,11073,66,18,-33
265 C,11074,51,34,-49
2655 C,11075,56,27,-44
266 C,11076,38,44,-60
2665 C,11077,45,35,-54
267 C,11078,29,44,-56
268 C,11079,28,33,-43
2685 C,11080,14,40,-54
269 C,11081,26,26,-32
2695 C,11082,14,18,-26
270 C,11083,74,6,-22
2705 C,11084,70,10,-31
2706 C,11085,85,0,-12
2707 C,11086,85,-4,-14
2708 C,11087,81,-3,-18
271 C,11088,64,10,-32
2715 C,11089,58,17,-43
2716 C,11090,71,4,-29
2717 C,11091,79,-4,-24
2718 C,11092,56,3,-48
272 C,11093,51,15,-42
2725 C,11094,44,26,-56
2726 C,11095,42,18,-60
2727 C,11096,53,2,-58
2728 C,11097,33,19,-67
273 C,11098,13,26,-43
2735 C,11099,16,45,-66
2736 C,11100,24,38,-74
2738 C,11101,14,42,-71
274 C,11102,12,20,-36
2745 C,11103,12,39,-56
2746 C,11104,19,33,-64
2747 C,11105,14,23,-54
2748 C,11106,14,24,-55
275 C,11107,12,16,-30
2755 C,11108,12,30,-47
2756 C,11109,16,20,-48
2757 C,11110,14,14,-44
2758 C,11111,14,14,-44
276 C,11112,12,8,-16
2765 C,11113,11,16,-30
2766 C,11114,12,11,-33
2767 C,11115,16,1,-25
2768 C,11116,12,7,-31
277 C,11117,80,-7,-19
278 C,11118,73,-7,-30
279 C,11119,58,-6,-48
280 C,11120,15,15,-46
281 C,11121,14,11,-40
282 C,11122,11,3,-27
283 C,11123,76,-9,-26
284 C,11124,68,-10,-35
285 C,11125,47,-1,-56
286 C,11126,25,24,-65
287 C,11127,22,16,-54
288 C,11128,20,10,-45
289 C,11129,13,0,-22
290 C,11130,85,-9,-14
2905 C,11131,77,-14,-23
291 C,11132,79,-11,-21
2915 C,11133,70,-16,-33
292 C,11134,70,-13,-35
2925 C,11135,60,-17,-44
293 C,11136,29,19,-62
2935 C,11137,37,8,-58
294 C,11138,20,6,-41
2945 C,11139,32,3,-47
295 C,11140,16,2,-32
2955 C,11141,22,-2,-32
296 C,11142,9,-4,-15
2965 C,11143,13,-5,-20
297 C,11144,75,-20,-26
2975 C,11145,82,-17,-17
298 C,11146,69,-22,-35
2985 C,11147,74,-24,-28
299 C,11148,62,-20,-42
2995 C,11149,64,-23,-39
300 C,11150,39,4,-55
3005 C,11151,48,-5,-51
301 C,11152,31,-2,-40
3015 C,11153,39,-8,-39
302 C,11154,23,-7,-25
3025 C,11155,31,-11,-27
303 C,11156,15,-10,-14
3035 C,11157,24,-13,-18
304 C,11158,83,-19,-14
305 C,11159,76,-27,-26
306 C,11160,68,-28,-34
307 C,11161,43,-9,-40
308 C,11162,34,-12,-28
309 C,11163,22,-14,-14
310 C,11164,78,-29,-19
3105 C,11165,78,-30,-17
311 C,11166,72,-35,-26
3115 C,11167,71,-37,-22
312 C,11168,63,-28,-30
3125 C,11169,64,-32,-25
313 C,11170,56,-22,-32
3135 C,11171,54,-26,-24
314 C,11172,49,-20,-29
3145 C,11173,46,-24,-19
315 C,11174,40,-20,-21
3155 C,11175,38,-22,-16
316 C,11176,27,-18,-12
3165 C,11177,30,-20,-12
317 C,11178,87,-17,-6
318 C,11179,82,-26,-11
319 C,11180,75,-39,-16
320 C,11181,58,-33,-17
321 C,11182,53,-31,-15
322 C,11183,44,-28,-11
323 C,11184,36,-24,-9
324 C,11185,83,-22,-5
3242 C,11186,81,-34,-8
3245 C,11187,83,-34,-3
3248 C,11188,76,-34,1
325 C,11189,76,-32,-9
3252 C,11190,76,-44,-9
3255 C,11191,77,-46,-5
3258 C,11192,72,-39,-2
326 C,11193,65,-41,-8
3262 C,11194,70,-44,-6
3265 C,11195,72,-47,-2
3268 C,11196,62,-44,3
327 C,11197,50,-36,-1
3272 C,11198,60,-39,-6
3275 C,11199,65,-45,1
3278 C,11200,57,-44,9
328 C,11201,43,-31,-2
3282 C,11202,50,-35,-2
3285 C,11203,55,-39,1
3288 C,11204,48,-38,7
329 C,11205,39,-29,-3
3292 C,11206,34,-27,-2
3295 C,11207,44,-34,2
3298 C,11208,40,-33,6
330 C,11209,31,-25,-2
3302 C,11210,28,-23,-3
3305 C,11211,29,-25,1
3308 C,11212,26,-24,2
331 C,11213,87,-24,-1
332 C,11214,84,-31,0
333 C,11215,79,-47,0
334 C,11216,56,-43,8
335 C,11217,45,-36,6
336 C,11218,38,-32,5
337 C,11219,80,-28,5
3375 C,11220,83,-38,7
338 C,11221,76,-35,4
3385 C,11222,78,-48,9
339 C,11223,65,-49,10
3395 C,11224,70,-54,18
340 C,11225,55,-46,19
3405 C,11226,63,-53,26
341 C,11227,45,-39,12
3415 C,11228,44,-39,17
342 C,11229,38,-34,10
3425 C,11230,36,-33,11
343 C,11231,33,-27,7
3435 C,11232,26,-22,6
344 C,11233,83,-26,13
345 C,11234,80,-29,13
346 C,11235,75,-37,16
347 C,11236,56,-51,34
348 C,11237,48,-45,29
349 C,11238,39,-37,20
350 C,11239,32,-21,14
3500 C,11240,40,-39,25
3501 C,11241,63,-49,61
3506 C,11242,40,0,-48
3507 C,11243,79,-27,76
3508 C,11244,47,-20,35
351 C,11245,86,-29,14
3514 C,11246,79,14,80
3515 C,11247,23,49,-45
3516 C,11248,50,63,58
3517 C,11249,41,65,47
3519 C,11250,74,23,5
352 C,11251,84,-35,16
3520 C,11252,59,31,-30
3522 C,11253,50,-48,36
3523 C,11254,29,31,12
3524 C,11255,19,12,-25
3526 C,11256,60,-8,-8
3527 C,11257,52,63,-18
3529 C,11258,60,-55,52
353 C,11259,82,-40,19
3533 C,11260,80,-38,-1
3534 C,11261,65,-43,-3
3535 C,11262,18,45,-59
3536 C,11263,43,-42,28
3537 C,11264,26,-30,19
3538 C,11265,58,-17,-43
3539 C,11266,57,-45,46
354 C,11267,64,-58,44
3541 C,11268,55,-31,-16
3542 C,11269,17,36,-55
3543 C,11270,63,18,-32
3544 C,11271,78,13,13
3545 C,11272,70,-31,-31
3546 C,11273,44,68,48
3547 C,11274,64,13,64
355 C,11275,55,-51,38
3551 C,11276,62,-29,-28
3553 C,11277,44,-6,-46
3555 C,11278,24,36,-43
3556 C,11279,54,67,48
3557 C,11280,47,-29,-11
3558 C,11281,65,5,-30
3559 C,11282,45,37,-37
356 C,11283,45,-43,29
3560 C,11284,60,-40,-5
3561 C,11285,72,-43,69
3564 C,11286,61,49,69
3566 C,11287,24,26,-38
3568 C,11288,85,16,-4
357 C,11289,33,-26,15
3570 C,11290,81,-29,78
3572 C,11291,75,37,13
3574 C,11292,34,19,-30
3575 C,11293,54,26,-38
3577 C,11294,73,-9,-24
358 C,11295,83,-26,31
3581 C,11296,22,10,-38
3582 C,11297,61,42,-11
3583 C,11298,24,38,-48
3584 C,11299,28,10,-40
3588 C,11300,72,36,69
359 C,11301,81,-30,35
3590 C,11302,38,8,-44
3591 C,11303,18,20,-54
3593 C,11304,53,28,-32
3595 C,11305,82,21,-5
3596 C,11306,78,8,28
3597 C,11307,24,8,-40
3599 C,11308,79,2,33
360 C,11309,71,-43,50
361 C,11310,64,-51,54
362 C,11311,59,-40,47
363 C,11312,53,-36,43
364 C,11313,45,-27,36
365 C,11314,86,-22,39
366 C,11315,84,-26,44
367 C,11316,80,-31,52
368 C,11317,70,-40,63
369 C,11318,62,-38,60
370 C,11319,54,-28,50
371 C,11320,39,-14,33
372 C,11321,90,-20,42
373 C,11322,89,-22,47
374 C,11323,87,-25,54
375 C,11324,79,-40,76
376 C,11325,71,-36,69
377 C,11326,59,-25,60
378 C,11327,40,-12,36
379 C,11328,89,-14,59
380 C,11329,88,-17,72
381 C,11330,85,-21,81
382 C,11331,82,-22,79
383 C,11332,68,-15,68
384 C,11333,59,-10,61
385 C,11334,47,-5,42
386 C,11335,91,-13,60
387 C,11336,90,-17,78
388 C,11337,89,-18,81
389 C,11338,86,-21,82
390 C,11339,74,-16,73
391 C,11340,61,-8,62
392 C,11341,51,-6,54
393 C,11342,92,-10,57
3935 C,11343,92,-10,66
394 C,11344,91,-13,78
3945 C,11345,90,-10,87
395 C,11346,90,-14,84
3955 C,11347,88,-8,85
396 C,11348,87,-15,84
3965 C,11349,87,-7,84
397 C,11350,74,-10,73
3975 C,11351,68,-3,69
398 C,11352,66,-7,67
3985 C,11353,57,-2,60
399 C,11354,60,-4,62
3995 C,11355,39,-1,34
400 C,11356,78,0,5
4001 C,11357,88,-2,32
4002 C,11358,81,1,37
4003 C,11359,81,-2,25
4004 C,11360,75,0,34
4005 C,11361,72,1,28
4006 C,11362,68,3,29
4007 C,11363,63,3,32
4008 C,11364,77,17,73
4009 C,11365,72,26,55
401 C,11366,70,0,5
4010 C,11367,60,46,65
4011 C,11368,62,39,41
4012 C,11369,62,44,50
4013 C,11370,56,35,52
4014 C,11371,53,30,32
4015 C,11372,80,-6,50
4016 C,11373,78,-3,65
4017 C,11374,77,5,63
4018 C,11375,74,2,56
4019 C,11376,70,1,49
402 C,11377,63,1,5
4020 C,11378,67,2,68
4021 C,11379,62,3,51
4022 C,11380,75,4,31
4023 C,11381,75,4,42
4024 C,11382,73,7,41
4025 C,11383,70,13,52
4026 C,11384,62,13,48
4027 C,11385,46,13,43
4028 C,11386,43,9,35
4029 C,11387,84,5,24
403 C,11388,56,1,6
4030 C,11389,84,11,19
4031 C,11390,84,9,12
4032 C,11391,85,14,11
4033 C,11392,81,20,17
4034 C,11393,66,17,25
4035 C,11394,66,15,25
4036 C,11395,67,14,7
4037 C,11396,58,21,12
4038 C,11397,55,24,16
4039 C,11398,52,27,17
404 C,11399,47,2,7
4040 C,11400,50,17,10
4041 C,11401,43,13,9
4042 C,11402,42,10,10
4043 C,11403,81,7,15
4044 C,11404,69,10,17
4045 C,11405,65,11,15
4046 C,11406,64,7,15
4047 C,11407,61,9,17
4048 C,11408,57,10,18
4049 C,11409,56,5,13
405 C,11410,42,1,6
4050 C,11411,74,14,18
4051 C,11412,66,32,23
4052 C,11413,65,30,22
4053 C,11414,61,31,24
4054 C,11415,46,34,29
4055 C,11416,46,33,24
4056 C,11417,40,22,15
4057 C,11418,59,48,30
4058 C,11419,55,60,29
4059 C,11420,45,58,27
406 C,11421,77,2,3
4060 C,11422,45,54,26
4061 C,11423,53,36,19
4062 C,11424,43,41,21
4063 C,11425,40,37,27
4064 C,11426,78,21,4
4065 C,11427,76,20,6
4066 C,11428,73,27,14
4067 C,11429,73,27,12
4068 C,11430,69,33,12
4069 C,11431,51,49,16
407 C,11432,69,3,4
4070 C,11433,44,50,16
4071 C,11434,65,29,0
4072 C,11435,64,42,1
4073 C,11436,50,54,4
4074 C,11437,29,44,-3
4075 C,11438,34,35,0
4076 C,11439,37,29,-1
4077 C,11440,38,27,3
4078 C,11441,82,15,-5
4079 C,11442,73,17,-9
408 C,11443,59,3,4
4080 C,11444,75,15,-10
4081 C,11445,63,15,-9
4082 C,11446,51,31,-12
4083 C,11447,45,26,-24
4084 C,11448,33,26,-12
4085 C,11449,76,4,7
4086 C,11450,70,8,2
4087 C,11451,67,8,7
4088 C,11452,60,10,9
4089 C,11453,60,8,5
409 C,11454,52,4,4
4090 C,11455,51,10,10
4091 C,11456,43,11,5
4092 C,11457,72,14,-2
4093 C,11458,63,12,2
4094 C,11459,49,18,-1
4095 C,11460,44,21,-1
4096 C,11461,37,20,6
4097 C,11462,37,17,4
4098 C,11463,33,13,10
4099 C,11464,59,15,6
410 C,11465,45,5,4
4100 C,11466,39,20,8
4101 C,11467,24,29,12
4102 C,11468,20,27,9
4103 C,11469,21,22,3
4104 C,11470,28,11,3
4105 C,11471,31,16,14
4106 C,11472,72,11,-1
4107 C,11473,63,12,-6
4108 C,11474,59,14,-5
4109 C,11475,55,17,-4
411 C,11476,36,4,5
4110 C,11477,50,14,-6
4111 C,11478,42,18,-5
4112 C,11479,49,13,1
4113 C,11480,61,8,1
4114 C,11481,60,6,-1
4115 C,11482,55,8,1
4116 C,11483,57,8,3
4117 C,11484,44,8,-8
4118 C,11485,26,8,-11
4119 C,11486,25,4,-6
412 C,11487,21,3,2
4120 C,11488,72,10,-18
4121 C,11489,61,11,-20
4122 C,11490,49,17,-36
4123 C,11491,69,2,-11
4124 C,11492,61,4,-17
4125 C,11493,40,5,-15
4126 C,11494,30,13,-19
4127 C,11495,54,2,-12
4128 C,11496,48,1,-11
4129 C,11497,47,-1,-10
413 C,11498,76,-3,4
4130 C,11499,38,0,-12
4131 C,11500,32,1,-11
4132 C,11501,25,3,-10
4133 C,11502,25,2,-8
4134 C,11503,67,1,-7
4135 C,11504,55,-1,-14
4136 C,11505,46,-2,-12
4137 C,11506,39,-4,-17
4138 C,11507,40,-5,-13
4139 C,11508,38,-2,-12
414 C,11509,69,-3,5
4140 C,11510,25,0,-8
4141 C,11511,42,4,-38
4142 C,11512,34,4,-31
4143 C,11513,35,-2,-18
4144 C,11514,26,6,-20
4145 C,11515,22,4,-18
4146 C,11516,12,4,-17
4147 C,11517,15,9,-20
4148 C,11518,59,-13,-20
4149 C,11519,68,-7,-18
415 C,11520,61,-3,6
4150 C,11521,51,-2,-37
4151 C,11522,42,-5,-46
4152 C,11523,34,0,-43
4153 C,11524,32,0,-39
4154 C,11525,27,-1,-35
4155 C,11526,80,-5,-4
4156 C,11527,75,-12,-11
4157 C,11528,67,-20,-18
4158 C,11529,49,-18,-20
4159 C,11530,34,-10,-32
416 C,11531,53,-3,6
4160 C,11532,28,-13,-20
4161 C,11533,30,-8,-12
4162 C,11534,81,-17,2
4163 C,11535,77,-23,2
4164 C,11536,48,-32,-2
4165 C,11537,40,-26,-2
4166 C,11538,46,-20,-4
4167 C,11539,39,-20,-2
4168 C,11540,27,-14,-4
4169 C,11541,79,-8,1
417 C,11542,43,-3,5
4170 C,11543,75,-10,-2
4171 C,11544,73,-11,-3
4172 C,11545,69,-18,-2
4173 C,11546,75,-23,-5
4174 C,11547,74,-21,-7
4175 C,11548,73,-13,-9
4176 C,11549,82,-5,5
4177 C,11550,76,-4,7
4178 C,11551,70,-6,10
4179 C,11552,66,-11,17
418 C,11553,35,-2,5
4180 C,11554,62,-8,12
4181 C,11555,54,-11,9
4182 C,11556,49,-9,8
4183 C,11557,77,-5,4
4184 C,11558,68,-8,4
4185 C,11559,65,-12,1
4186 C,11560,56,-15,-2
4187 C,11561,50,-9,-2
4188 C,11562,37,-11,-3
4189 C,11563,29,-15,-10
419 C,11564,13,-2,0
4190 C,11565,72,-7,6
4191 C,11566,66,-8,2
4192 C,11567,60,-9,5
4193 C,11568,43,-5,6
4194 C,11569,41,-6,-1
4195 C,11570,43,-1,-1
4196 C,11571,35,-6,-5
4197 C,11572,63,-9,4
4198 C,11573,51,-10,4
4199 C,11574,43,-9,4
420 C,11575,81,-2,1
4200 C,11576,44,-9,3
4201 C,11577,42,-12,3
4202 C,11578,31,-10,1
4203 C,11579,28,-13,1
4204 C,11580,82,-12,18
4205 C,11581,75,-17,26
4206 C,11582,68,-18,19
4207 C,11583,63,-20,17
4208 C,11584,43,-24,10
4209 C,11585,35,-15,3
421 C,11586,73,-2,1
4210 C,11587,31,-15,3
4211 C,11588,85,-12,32
4212 C,11589,66,-26,49
4213 C,11590,55,-25,42
4214 C,11591,48,-17,16
4215 C,11592,44,-19,23
4216 C,11593,34,-18,26
4217 C,11594,37,-16,30
